,Unnamed: 0,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit,code,best_film,poster
41,41,Italy,100,3303626216.143940,33036262.16143940,6695533666,66955336.66,6695533666,66955336.66,-1150413715.143940,-11504137.15143940,3391907449.856060,33919074.49856060,ITA,U-571,https://image.tmdb.org/t/p/original/3CBXRPpv5tSxHbO7RMkCezKQw66.jpg
42,42,Japan,122,6509276489.774060,53354725.3260169,23203751610,190194685.32786900,23203751610,190194685.32786900,1027744466.2259400,8424134.969065070,16694475120.225900,136839960.00185200,JPN,Lara Croft: Tomb Raider,https://picfiles.alphacoders.com/357/357733.jpg
43,43,Jordan,2,111500000.0,55750000.0,630416573,315208286.5,630416573,315208286.5,117188346.0,58594173.0,518916573.0,259458286.5,JOR,Gerry,https://i.pinimg.com/originals/f4/9b/36/f49b36d0d3a9e1518717c00b3bf4b7fd.jpg
44,44,Kazakhstan,1,18000000.0,18000000.0,26527510,26527510.0,26527510,26527510.0,-12294239.0,-12294239.0,8527510.0,8527510.0,KAZ,Mongol,https://flxt.tmsimg.com/assets/p159795_p_v10_at.jpg
45,45,Kenya,2,45000000.0,22500000.0,85863015,42931507.5,85863015,42931507.5,-8697994.0,-4348997.0,40863015.0,20431507.5,KEN,The Constant Gardener - La cospirazione,https://images03.kaleidescape.com/transformed/covers/1134x1624s/214/21419626.jpg
46,46,Latvia,1,9500000.0,9500000.0,14776760,14776760.0,14776760,14776760.0,-2492851.0,-2492851.0,5276760.0,5276760.0,LVA,Appuntamento a Belleville,https://i.ebayimg.com/images/g/Q00AAOSwv7ZfY7f5/s-l400.jpg
47,47,Lebanon,4,15143130.0,3785782.5,89774363,22443590.75,89774363,22443590.75,-10893152.0,-2723288.0,74631233.0,18657808.25,LBN,Caramel,https://images-na.ssl-images-amazon.com/images/I/71%2BJI-iemAL._SL1181_.jpg
48,48,Liechtenstein,1,13000000.0,13000000.0,17471727,17471727.0,17471727,17471727.0,-8100722.0,-8100722.0,4471727.0,4471727.0,LIE,"Paris, je t'aime",http://www.impawards.com/2007/posters/paris_je_taime_ver6.jpg
49,49,Lithuania,1,15000000.0,15000000.0,5926410,5926410.0,5926410,5926410.0,-12793595.0,-12793595.0,-9073590.0,-9073590.0,LTU,Transsiberian,https://pics.filmaffinity.com/transsiberian-631560569-large.jpg
50,50,Luxembourg,19,346272831.36320000,18224885.861221000,287645582,15139241.157894700,287645582,15139241.157894700,-237557041.36320000,-12503002.177010500,-58627249.36319980,-3085644.703326310,LUX,Highlander: Endgame,https://fr.web.img3.acsta.net/medias/nmedia/00/02/14/05/69198334_af.jpg
51,51,Malaysia,1,6000000.0,6000000.0,1023510,1023510.0,1023510,1023510.0,-5234439.0,-5234439.0,-4976490.0,-4976490.0,MYS,Color Out of Space,https://i.pinimg.com/736x/f0/c3/99/f0c399214735fecbe13ee5f1443590f6.jpg
52,52,Malta,9,903000000.0,100333333.33333300,2968477155,329830795.0,2968477155,329830795.0,49465125.0,5496125.0,2065477155.0,229497461.66666700,MLT,Il gladiatore,https://i.pinimg.com/736x/ff/1e/dd/ff1edd3e241027e41ba6980b8b8dc9aa.jpg
53,53,Mexico,58,2080609558.7679900,35872578.599448100,5869260115,101194139.9137930,5869260115,101194139.9137930,364287049.2320090,6280811.193655330,3788650556.232010,65321561.31434500,MEX,Frida,http://i.imgur.com/PZ6JESM.jpg
54,54,Monaco,3,37988170.0,12662723.333333300,141871405,47290468.333333300,141871405,47290468.333333300,-19975083.0,-6658361.0,103883235.0,34627745.0,MCO,Il truffacuori,https://www.ilcinemaniaco.com/wp-content/uploads/2011/02/il-truffacuori-500-x-714.jpg
55,55,Morocco,12,1012596450.0,84383037.5,2780731058,231727588.16666700,2780731058,231727588.16666700,-184057930.0,-15338160.833333300,1768134608.0,147344550.66666700,MAR,Il gladiatore,https://i.pinimg.com/736x/ff/1e/dd/ff1edd3e241027e41ba6980b8b8dc9aa.jpg
56,56,Netherlands,25,526523110.0,21060924.4,1277409362,51096374.48,1277409362,51096374.48,-80980756.0,-3239230.24,750886252.0,30035450.08,NLD,Dancer in the Dark,https://i.jeded.com/i/dancer-in-the-dark.11408.jpg
57,57,New Zealand,30,2472347931.778930,82411597.72596430,9483352031,316111734.3666670,9483352031,316111734.3666670,697233325.2210710,23241110.84070240,7011004099.221070,233700136.6407020,NZL,Il Signore degli Anelli - La compagnia dell'Anello,https://www.themoviedb.org/t/p/original/qE5rOsPqfI007xrEwZAYvC59ell.jpg
