,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
5319,Corbin Allred,1,780000.0,780000.0,1310470,1310470.0,1310470,1310470.0,530470.0,530470.0,530470.0,530470.0
5320,Corbin Bernsen,2,41350000.0,20675000.0,17362420,8681210.0,17362420,8681210.0,-37085246.0,-18542623.0,-23987580.0,-11993790.0
5321,Corbin Bleu,1,11000000.0,11000000.0,252909177,252909177.0,252909177,252909177.0,79559416.0,79559416.0,241909177.0,241909177.0
5322,Corbin Reid,1,5000000.0,5000000.0,45173154,45173154.0,45173154,45173154.0,15777061.0,15777061.0,40173154.0,40173154.0
5323,Cordelia Richards,1,42000000.0,42000000.0,35402320,35402320.0,35402320,35402320.0,-25465779.0,-25465779.0,-6597680.0,-6597680.0
5324,Cordell Clyde,1,11000000.0,11000000.0,1783226,1783226.0,1783226,1783226.0,-10878006.0,-10878006.0,-9216774.0,-9216774.0
5325,Cordell Stokes,1,12500000.0,12500000.0,23367586,23367586.0,23367586,23367586.0,8578145.0,8578145.0,10867586.0,10867586.0
5326,Corena Chase,1,37000000.0,37000000.0,154026136,154026136.0,154026136,154026136.0,55186262.0,55186262.0,117026136.0,117026136.0
5327,Corey Allen Kotler,1,25000000.0,25000000.0,12751667,12751667.0,12751667,12751667.0,-19224822.0,-19224822.0,-12248333.0,-12248333.0
5328,Corey Brown,1,12000000.0,12000000.0,26117471,26117471.0,26117471,26117471.0,13317471.0,13317471.0,14117471.0,14117471.0
5329,Corey Burton,4,288500000.0,72125000.0,479499913,119874978.25,479499913,119874978.25,-82674933.0,-20668733.25,190999913.0,47749978.25
5330,Corey Fogelmanis,1,5000000.0,5000000.0,61105672,61105672.0,61105672,61105672.0,40896028.0,40896028.0,56105672.0,56105672.0
5331,Corey Haim,1,20000000.0,20000000.0,34572541,34572541.0,34572541,34572541.0,-6315751.0,-6315751.0,14572541.0,14572541.0
5332,Corey Hawkins,4,278000000.0,69500000.0,1084498226,271124556.5,1084498226,271124556.5,192694537.0,48173634.25,806498226.0,201624556.5
5333,Corey Holcomb,1,23000000.0,23000000.0,79799880,79799880.0,79799880,79799880.0,41460211.0,41460211.0,56799880.0,56799880.0
5334,Corey Johnson,11,453000000.0,41181818.18181818,1023800406,93072764.18181819,1023800406,93072764.18181819,77864242.0,7078567.454545454,570800406.0,51890946.0
5335,Corey Michael Eubanks,1,150000000.0,150000000.0,292817841,292817841.0,292817841,292817841.0,-30563230.0,-30563230.0,142817841.0,142817841.0
5336,Corey Pearson,1,34000000.0,34000000.0,19772447,19772447.0,19772447,19772447.0,-14246447.0,-14246447.0,-14227553.0,-14227553.0
5337,Corey Reynolds,1,60000000.0,60000000.0,219100084,219100084.0,219100084,219100084.0,17872883.0,17872883.0,159100084.0,159100084.0
5338,Corey Stoll,13,704800000.0,54215384.615384616,1752206636,134785125.84615386,1752206636,134785125.84615386,29160278.0,2243098.3076923075,1047406636.0,80569741.23076923
5339,Cori Gonzalez-Macuer,1,1600000.0,1600000.0,6946808,6946808.0,6946808,6946808.0,1869224.0,1869224.0,5346808.0,5346808.0
5340,Corinna Harfouch,1,14986350.0,14986350.0,92181574,92181574.0,92181574,92181574.0,-9477310.0,-9477310.0,77195224.0,77195224.0
5341,Corinna Harney,1,48000000.0,48000000.0,85498534,85498534.0,85498534,85498534.0,8618055.0,8618055.0,37498534.0,37498534.0
5342,Corinne Foxx,1,12000000.0,12000000.0,46783103,46783103.0,46783103,46783103.0,10260900.0,10260900.0,34783103.0,34783103.0
